"","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"922",6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5
"923",6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,6
"924",7.6,0.29,0.29,4.4,0.051,26,146,0.9939,3.16,0.39,10.2,5
"925",7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6
"926",6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98,5
"927",8.4,0.27,0.3,2.2,0.037,36,129,0.99085,2.89,0.3,11.4666666666667,6
"928",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
"929",6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,5
"930",6.9,0.28,0.33,1.2,0.039,16,98,0.9904,3.07,0.39,11.7,6
"931",7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
"932",6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,5
"933",7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6
"934",5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,6
"935",6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6
"936",6.2,0.21,0.28,5.7,0.028,45,121,0.99168,3.21,1.08,12.15,7
"937",7.2,0.2,0.36,2.5,0.028,22,157,0.9938,3.48,0.49,10.6,6
"938",6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,5
"939",7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7
"940",6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6
"941",6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7
"942",6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,7
"943",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
"944",7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6
"945",5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9,6
"946",7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6
"947",7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6
"948",9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
"949",7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,5
"950",6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
"951",5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7
"952",7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6
"953",6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6
"954",7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,6
"955",7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,5
"956",6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
"957",5.8,0.35,0.29,3.2,0.034,41,151,0.9912,3.35,0.58,11.6333333333333,7
"958",7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4
"959",6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5
"960",6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,6
"961",7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8,7
"962",8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
"963",7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,6
"964",7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7
"965",7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7
"966",7.3,0.36,0.62,7.1,0.033,48,185,0.99472,3.14,0.62,10.6,6
"967",6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
"968",6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6
"969",6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5
"970",7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,5
"971",7.4,0.18,0.34,2.7,0.03,30,107,0.992,2.97,0.53,11,6
"972",5.9,0.26,0.29,5.4,0.046,34,116,0.99224,3.24,0.41,11.4,6
"973",6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6
"974",6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
"975",6.7,0.31,0.3,2.1,0.038,18,130,0.9928,3.36,0.63,10.6,6
"976",6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5
"977",8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,5
"978",6.7,0.16,0.28,2.5,0.046,40,153,0.9921,3.38,0.51,11.4,7
"979",5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5
"980",5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
"981",6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,6
"982",5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
"983",6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6
"984",6.9,0.22,0.39,6,0.035,44,141,0.99123,3.11,0.33,12.5,6
"985",7.5,0.38,0.56,9.7,0.055,15,170,0.99605,3.13,0.65,9.9,6
"986",6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5
"987",7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7
"988",6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6
"989",7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6,6
"990",6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6
"991",6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
"992",7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5
"993",6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5
"994",6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8
"995",7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6
"996",6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
"997",8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5
"998",6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4,6
"999",5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6
"1000",6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
